,SubNo,Meta_Conf,Meta_Conf_First,Meta_Switch,Meta_Switch_First,Switch_Conf,Confidence_Accuracy_Dich,Pref_Rev_Conf,Pref_Rev_Switch,Trans_Viol_Change,Trans_Viol_T1,Trans_Viol_T2,Trans_Viol,Pref_Rev_Sum,Meta_RT
0,101.0,0.250380789569,0.401840459252,-0.0977025601934,-0.282341580214,-0.23299752207,0.0,-0.900558849592,0.681370785502,3.0,7.0,4.0,11.0,22,-0.18265118916
1,106.0,1.13801121208,1.07077224763,-0.509165887416,-0.61933119626,0.0190879630672,1.0,-0.317315959484,0.014254233401,0.0,4.0,4.0,8.0,12,0.0906730739395
2,107.0,2.07194412335,3.71904751443,-0.548223390137,-0.372052795785,-0.465245690905,1.0,-1.28225743134,0.366258794835,5.0,6.0,1.0,7.0,10,-1.07420155412
3,108.0,0.390172185242,0.527298200772,-0.022610319418,-0.164390351843,-0.350218670797,0.0,-1.34741511915,0.538865028377,-3.0,8.0,11.0,19.0,38,-0.0234964873921
4,109.0,0.901547492234,0.648225196026,-0.6936743938,-0.761424194765,-0.305843937655,0.0,-0.988242099261,0.400326806506,2.0,3.0,1.0,4.0,8,-1.26808869309
5,110.0,0.861352688712,1.10861025199,-0.809050048972,-1.07483632416,-0.222491760206,1.0,-0.751926970462,0.316571738713,4.0,9.0,5.0,14.0,28,-0.994325713943
6,111.0,1.21287684937,0.612922383773,-0.748447758192,-0.782652854124,-0.111329216074,0.0,-0.645035131499,0.229152586036,-2.0,3.0,5.0,8.0,16,-0.549786759673
7,112.0,3.79546548069,3.37514058452,-0.182079778372,-0.390390931061,-0.37175614764,1.0,-1.45455719059,0.914393559537,7.0,9.0,2.0,11.0,22,-0.879663892529
8,113.0,3.79879099051,2.62075959851,-1.55227701347,-1.4748754293,-0.511817972815,1.0,-1.42521418756,0.61428351026,2.0,7.0,5.0,12.0,24,-1.30505546623
9,114.0,1.29003184682,1.53187486563,-0.73683491277,-0.908816688209,-0.327212347902,1.0,-1.61694434464,0.941170988212,3.0,6.0,3.0,9.0,18,-0.868652199816
10,115.0,1.76180255781,2.35753976943,0.485936632912,0.214730207261,-0.0161842680455,1.0,-1.2203842531,0.16305785806,-2.0,6.0,8.0,14.0,28,-0.342975654731
11,116.0,0.781498509182,0.678181893148,0.988406681145,0.263875138725,-0.239128963444,0.0,-0.543022061749,0.126046351953,0.0,3.0,3.0,6.0,12,0.869316282904
12,117.0,1.64685786736,0.994983493932,-1.41275731569,-0.857941159383,-0.604084258809,0.0,-1.15451406434,0.427624177801,-2.0,3.0,5.0,8.0,16,-1.65428028611
13,118.0,3.08229541341,1.31356003174,-1.39864239626,-1.17593244935,-0.64581498459,1.0,-0.795547300433,0.505837696118,1.0,2.0,1.0,3.0,6,-1.43890949636
14,119.0,0.154365422818,-0.237962952265,-0.0210726418217,0.207219620514,-0.354189259265,0.0,-0.18459630177,0.371133841344,-3.0,7.0,10.0,17.0,30,-0.0488446798581
15,120.0,0.0954613536594,0.129513358708,-0.478787463678,-0.537551048057,-0.238470480626,0.0,-0.645820650249,0.220364077824,0.0,6.0,6.0,12.0,24,0.011410552378
16,121.0,0.755216668251,0.966938961514,-0.49227417047,-0.342898659793,-0.556735629189,0.0,-1.09032991826,0.477072373344,3.0,8.0,5.0,13.0,22,-0.874984820912
17,122.0,1.85732823618,1.38147938158,0.0881751841531,0.141569195863,-0.135456424615,1.0,-0.892485037942,0.253897889251,-1.0,11.0,12.0,23.0,42,-0.361807795997
18,124.0,0.602576057337,0.665785993312,-0.786112174547,-1.18317261579,-0.262785947406,0.0,-0.580312609035,0.366745532256,5.0,9.0,4.0,13.0,22,-0.755604706044
19,125.0,0.412406402804,-0.0139288386536,-1.24654905698,-1.63820398796,-0.280377671403,0.0,-0.261861348775,0.260998144447,-1.0,6.0,7.0,13.0,22,-1.17059697943
20,127.0,1.56139126474,1.74062793066,-1.28865991083,-1.40824104654,-0.279590993303,1.0,-0.632904119291,0.748327672443,2.0,6.0,4.0,10.0,12,-1.1721271193
21,128.0,1.21387454026,1.57782872903,-0.366005016528,-0.468099752384,-0.105630919365,1.0,0.569633926405,0.469222416225,1.0,2.0,1.0,3.0,6,-0.40076098332
22,129.0,0.974243922053,0.817749466211,-0.347100551941,-0.217562258784,-0.122727371219,0.0,-0.830073235432,0.156186605486,0.0,2.0,2.0,4.0,4,-0.406829101812
23,131.0,3.11011798415,4.6033910286,0.588029507963,1.33926294048,-0.416623738915,1.0,-1.22962236062,-0.0169153388981,0.0,6.0,6.0,12.0,24,-0.628595462187
24,132.0,-1.51665950186,-1.71645969974,0.860099893107,2.30301413625,-0.0637710434686,0.0,-1.11693507506,0.183710146054,-3.0,7.0,10.0,17.0,34,1.65022194963
25,133.0,1.74790134631,1.9249192034,-0.40795794091,-0.206006099746,-0.252734861759,1.0,-1.07375890297,0.651358840084,0.0,7.0,7.0,14.0,20,-0.523008279257
26,134.0,0.948232791623,0.788432083878,0.0304066381429,0.196026742815,-0.120955608328,0.0,-1.00418764173,-0.051161168396,2.0,8.0,6.0,14.0,24,-0.986239059178
27,135.0,1.40933918626,1.34559256791,-0.723229517436,-1.25217162136,-0.183542092697,1.0,-1.17081623394,0.402258656319,-2.0,2.0,4.0,6.0,12,-0.831091164375
