,Unnamed: 0,Participant,Triplet_Identity,UL_Item,UL_Value,UR_Item,UR_Value,LL_Item,LL_Value,LR_Item,LR_Value,Block_X,Block_Y,Chosen_Img,CHOICE_KEYPRESS,CHOICE_RT,CONF,CONF_RT,DV_Top,Value_Range,DV_Ratio,Chosen_Value,Chose_Highest,Unchosen_Mean,Unchosen_Low,Unchosen_High,Value_Position_1,Value_Position_2,Value_Position_3,Chosen_Position,UL_Dwell_Time,UR_Dwell_Time,LL_Dwell_Time,LR_Dwell_Time,Interest_Areas_Explored,Total_Dwell_Time,Switch,Chose_Item_1,Item1_DV,zItem1_DV,zSwitch,DT_Position_1,DT_Position_2,DT_Position_3,Item1_DTD,zItem1_DTD,High_Val,Med_Val,Low_Val,zHigh_Val,zMed_Val,zLow_Val,Weighted_VD,zWeighted_VD,Chosen_DT,Chose_Longest,Long_DT,Med_DT,Short_DT,zLong_DT,zMed_DT,zShort_DT,zWeighted_DTD,Block,CoM,CoM_Next,CoM_Total,Chose_Item_2,Item2_DV,Item2_DTD,zItem2_DTD,zItem2_DV,zCONF,zDT_Position_1,zDT_Position_2,zDT_Position_3,zValue_Position_1,zValue_Position_2,zValue_Position_3,zCHOICE_RT,VD,zVD,DTD,zDTD,RTBin,DVBin,Conf_Dich,UL_Saccades,UR_Saccades,LL_Saccades,LR_Saccades,Saccades_Position_1,Saccades_Position_2,Saccades_Position_3,Total_IA_Saccades,zTotal_IA_Saccades,zVD_sqrt,Repeat_Distance,Summed_Value,zSummed_Value,EDT_Dich,DDT_Dich,DVBin2
0,0,1,30,26_yorkie.png,0.6,59_crunchie.png,0.95,empty.png,-1.0,57_food_doctor_mild_korma_crisps.png,1.0,300,580,59_crunchie.png,k,10778,42,4565,0.05,0.4,0.125,0.95,False,0.8,0.6,1.0,0.6,0.95,1.0,2.0,2764.0,3887.0,,2364.0,3,9015.0,7,0,-0.375,-0.577862355517,1.78896059508,2764.0,3887.0,2364.0,2002.5,0.0182907428359,1.0,0.95,0.6,-0.515745629364,0.355498381765,0.489336620781,-0.194913696629,-1.13907750118,3887.0,1,3887.0,2764.0,2364.0,1.35998747509,1.38877242924,2.03178886798,-1.13709144959,1.0,,1.0,1.0,1,0.15,1323.0,1.35029160906,0.231144942207,-1.02036372216,0.95271455103,2.15688652977,0.523802002947,-0.325952918336,0.234730599894,0.314828245355,1.6022371461,-0.25,-1.11686981792,-59.0,-0.241815985637,5,1,1.0,9,12,0,3,9.0,12.0,3.0,24.0,1.30649435772,1.11207464248,54.0,2.55,0.103393697992,1,1,2
1,1,1,32,13_fruit_pastilles.png,0.35,69_maple_pecan.png,0.2,empty.png,-1.0,5_caramello.png,1.35,300,580,5_caramello.png,m,5682,74,5177,1.0,1.15,0.869565217391,1.35,True,0.275,0.2,0.35,0.35,0.2,1.35,3.0,940.0,1546.0,,2222.0,3,4708.0,3,0,-0.425,-0.654910669586,-1.04972067976,940.0,1546.0,2222.0,1278.0,-0.615464361312,1.35,0.35,0.2,0.153329781703,-0.69458914591,-0.459679855885,0.865073295783,1.07921438946,2222.0,1,2222.0,1546.0,940.0,-0.212331226763,-0.291225735499,-0.365436044489,0.267272193231,1.0,,0.0,0.0,0,-0.65,-35.0,0.0217369831332,-1.0016280829,1.63005117735,-1.00312666823,-0.353324157881,0.371538048378,-0.726441145643,-0.966734082027,0.875511763585,-0.567290039417,0.9,1.11283050574,206.0,0.134755583336,2,5,2.0,3,3,0,7,3.0,3.0,7.0,13.0,-0.4883773358,1.86182983489,85.0,1.9,-0.378081432957,0,0,1
2,2,1,3,empty.png,-1.0,11_lindt_orange.png,1.85,54_milkyway_magic_stars.png,0.8,32_snickers.png,0.75,300,195,11_lindt_orange.png,k,10289,34,6577,1.05,1.1,0.954545454545,1.85,True,0.775,0.75,0.8,1.85,0.8,0.75,1.0,,3507.0,2442.0,2372.0,3,8321.0,7,1,1.075,1.65653875248,1.78896059508,3507.0,2442.0,2372.0,3472.0,1.30373329017,1.85,0.8,0.75,1.10915179751,0.0929764998462,0.845217799531,0.636157051902,0.600149031989,3507.0,1,3507.0,2442.0,2372.0,1.00113996356,0.944634983388,2.04525642366,-1.10756681642,1.0,,0.0,0.0,0,-0.5,-497.5,-0.430734677022,-0.77048314069,-1.68296744704,1.74941960909,0.607439949824,0.532380253909,1.6764882182,1.6764882182,-0.00556233649037,1.39405449428,0.675,0.676584790239,-121.0,-0.329919522528,5,4,1.0,0,9,8,7,9.0,8.0,7.0,24.0,1.30649435772,1.74073680337,87.0,3.4,0.73301502308,1,1,4
3,3,1,18,24_twix.png,1.5,empty.png,-1.0,68_skittles_wildberry.png,1.2,38_milkybar.png,0.7,685,195,24_twix.png,a,7279,56,3175,0.3,0.8,0.375,1.5,True,0.95,0.7,1.2,1.5,1.2,0.7,1.0,2609.0,,2284.0,1000.0,3,5893.0,6,1,0.55,0.847531454759,1.07929027637,2609.0,2284.0,1000.0,1967.0,-0.0127628198932,1.5,1.2,0.7,0.440076386445,0.793034851629,0.726590739948,0.0119154777584,-0.706234944077,2609.0,1,2609.0,2284.0,1000.0,0.153126633668,0.726704186977,-0.264429376829,-0.29213365932,1.0,,0.0,1.0,0,0.1,479.5,0.525081132647,0.154096628138,0.139192796372,0.786510938648,0.438019493331,-0.938789786014,1.11580469997,0.635218827201,0.635218827201,0.112602997333,-0.05,-0.729095848586,-175.0,-0.406654861111,4,2,1.0,6,0,6,3,6.0,6.0,3.0,15.0,-0.162037027887,1.27455246254,87.0,3.4,0.73301502308,1,1,4
4,4,1,24,31_beef_jerky.png,0.0,empty.png,-1.0,72_shapers_vegatable_crisps.png,0.0,13_fruit_pastilles.png,0.35,685,195,13_fruit_pastilles.png,m,14064,30,5097,0.35,0.35,1.0,0.35,True,0.0,0.0,0.0,0.0,0.0,0.35,3.0,4714.0,,3234.0,3707.0,3,11655.0,5,0,-0.175,-0.269669099241,0.369619957662,4714.0,3234.0,3707.0,4950.5,2.59704857172,0.35,0.0,0.0,-1.75831424992,-1.30714020372,-0.934188094219,0.32950565747,-0.0415968633772,3707.0,0,4714.0,3707.0,3234.0,2.14095298046,2.68946066351,3.49638554905,-2.37984911545,1.0,,0.0,1.0,0,-0.175,-976.5,-0.899348569378,-0.269669099241,-2.01426930948,3.04366322293,1.45668679503,1.96387588313,-1.28712466387,-1.28712466387,-1.28712466387,3.00119050788,0.35,0.0464520900761,-610.0,-1.02480064414,5,3,1.0,12,0,9,10,12.0,9.0,10.0,31.0,2.44868543541,1.54920364008,69.0,0.35,-1.52621443753,1,1,2
5,5,1,1,empty.png,-1.0,42_dairy_milk_fruit_and_nut.png,1.35,60_caramel_rice_crisps.png,1.55,1_shapers_popcorn.png,0.9,300,195,42_dairy_milk_fruit_and_nut.png,k,6956,58,4314,0.2,0.65,0.307692307692,1.35,False,1.225,0.9,1.55,1.35,1.55,0.9,1.0,,2484.0,1480.0,1226.0,3,5190.0,2,1,0.125,0.192620785172,-1.75939099847,2484.0,1480.0,1226.0,2357.0,0.328388996004,1.55,1.35,0.9,0.535658588026,1.05555673355,1.20109897828,-0.184343663392,-1.11695702312,2484.0,1,2484.0,1480.0,1226.0,0.0350846890846,-0.38226011881,0.116029071357,0.271836773222,1.0,,1.0,2.0,0,0.425,-375.0,-0.3108908319,0.654910669586,0.304843727592,0.652475767372,-0.424094728315,-0.696454196348,0.875511763585,0.875511763585,1.19590234543,-0.0249082430365,-0.25,-1.11686981792,391.0,0.397645169223,3,1,2.0,0,9,4,4,9.0,4.0,4.0,17.0,0.164303280025,1.11207464248,54.0,3.8,1.02930741136,0,1,3
6,6,1,26,70_gb_butterscotch.png,1.85,67_sour_cream_and_chive_rice_crisps.png,1.75,empty.png,-1.0,14_maltesers.png,0.8,300,580,70_gb_butterscotch.png,a,8171,68,4127,0.1,1.05,0.0952380952381,1.85,True,1.275,0.8,1.75,1.85,1.75,0.8,1.0,3076.0,2216.0,,1438.0,3,6730.0,5,1,0.575,0.886055611793,0.369619957662,3076.0,2216.0,1438.0,2687.0,0.617055917148,1.85,1.75,0.8,1.10915179751,1.75561508533,0.963844859114,-0.166290637277,-1.07917648268,3076.0,1,3076.0,2216.0,1438.0,0.594131338633,0.63291118599,0.472919297089,-0.266285160697,1.0,,1.0,2.0,0,0.425,-41.0,0.0158670805149,0.654910669586,1.13309838369,1.28726633853,0.365104360157,-0.469130545864,1.6764882182,1.51629292728,-0.00556233649037,0.492355401078,-0.3,-1.21381331025,141.0,0.0423889720787,4,1,2.0,10,7,0,5,10.0,7.0,5.0,22.0,0.980154049807,1.06759848169,74.0,4.4,1.47374599377,1,1,4
7,7,1,17,2_maynards_winegums.png,1.0,empty.png,-1.0,71_walkers_baked_crisps.png,0.8,28_nakd_banana_crunch.png,0.0,685,195,71_walkers_baked_crisps.png,z,6078,62,3926,0.2,1.0,0.2,0.8,False,0.5,0.0,1.0,1.0,0.8,0.0,2.0,1422.0,29.0,2153.0,1592.0,4,5196.0,3,0,0.6,0.924579768828,-1.04972067976,1422.0,2153.0,1592.0,1141.5,-0.734867496876,1.0,0.8,0.0,-0.515745629364,0.0929764998462,-0.934188094219,0.291261858088,-0.121631722903,2153.0,0,1592.0,1422.0,29.0,-0.807262627465,-0.462260031416,-1.89905394846,0.801417273478,1.0,,0.0,0.0,1,0.3,646.0,0.687970930303,0.462289884414,0.636145590031,-0.486287047787,0.297550633834,-0.303999214852,0.314828245355,-0.00556233649037,-0.00556233649037,-0.398700407261,0.2,-0.244378386922,155.5,0.062993831513,3,3,2.0,5,0,6,4,5.0,6.0,4.0,15.0,-0.162037027887,1.45230900343,75.0,1.8,-0.452154530026,0,0,4
8,8,1,6,empty.png,-1.0,60_caramel_rice_crisps.png,1.55,47_daim.png,0.7,56_marshmallows.png,1.95,300,195,56_marshmallows.png,m,6300,66,2883,0.4,1.25,0.32,1.95,True,1.125,0.7,1.55,1.55,0.7,1.95,3.0,,1566.0,1002.0,2640.0,3,5208.0,3,0,0.225,0.34671741331,-1.04972067976,1566.0,1002.0,2640.0,2385.0,0.352881946889,1.95,1.55,0.7,1.30031620067,1.40558590944,0.726590739948,0.151110599867,-0.414933812269,2640.0,1,2640.0,1566.0,1002.0,0.182401035925,-0.263639558738,-0.261062487907,0.537074346418,1.0,,0.0,0.0,0,-1.05,-1101.0,-1.02114904871,-1.61801459545,0.96744745247,-0.331878530477,-0.936645223274,0.819751661124,1.19590234543,1.19590234543,-0.165757627413,-0.304188037719,0.05,-0.535208863921,573.0,0.656271680744,3,2,2.0,0,5,3,10,5.0,3.0,10.0,18.0,0.327473433982,1.34846986041,75.0,4.2,1.32559979963,0,1,3
9,9,1,2,empty.png,-1.0,27_mars.png,1.75,59_crunchie.png,0.95,50_nakd_rhubarb_and_custard.png,1.45,300,195,27_mars.png,k,10145,42,2943,0.3,0.8,0.375,1.75,True,1.2,0.95,1.45,1.75,0.95,1.45,1.0,,3014.0,720.0,4292.0,3,8026.0,7,1,0.55,0.847531454759,1.78896059508,3014.0,720.0,4292.0,4800.0,2.46539896071,1.75,1.45,0.95,0.91798739435,1.23057132149,1.31972603786,-0.107683098057,-0.956525327603,3014.0,0,4292.0,3014.0,720.0,1.74244337554,1.73359963875,-0.735793825909,0.607415500073,1.0,,0.0,0.0,0,-0.65,-2933.0,-2.81342598147,-1.0016280829,-1.02036372216,1.22078489358,-1.23902856967,2.59116048471,1.51629292728,1.51629292728,0.234730599894,1.33274917349,-0.175,-0.971454579418,918.0,1.1465252328,5,2,1.0,0,8,4,9,8.0,4.0,9.0,21.0,0.816983895851,1.17563823047,39.0,4.15,1.2885632511,1,1,4
10,10,1,13,9_hovis_crackers.png,0.75,empty.png,-1.0,6_bounty.png,1.75,22_no_sugar_toffees.png,1.85,685,195,6_bounty.png,z,9694,44,3423,0.1,1.1,0.0909090909091,1.75,False,1.3,0.75,1.85,0.75,1.75,1.85,2.0,1002.0,,4032.0,3076.0,3,8110.0,5,0,-1.05,-1.61801459545,0.369619957662,1002.0,4032.0,3076.0,524.0,-1.27502453871,1.85,1.75,0.75,1.10915179751,1.75561508533,0.845217799531,-0.135935115179,-1.01564984604,4032.0,1,4032.0,3076.0,1002.0,1.49691613081,1.81911678671,-0.261062487907,0.0285194637306,1.0,,1.0,1.0,1,0.45,1993.0,2.0057640681,0.693434826621,-0.854712790945,-0.936645223274,2.31236732845,1.28726633853,-0.0856599819518,1.51629292728,1.51629292728,1.14074431465,-0.275,-1.16534156408,455.0,0.488590755692,5,1,1.0,3,0,7,10,3.0,7.0,10.0,20.0,0.653813741894,1.09006342213,42.0,4.35,1.43670944524,1,0,1
11,11,1,35,53_eat_natural_almond_apricot.png,0.75,19_pistachios.png,0.55,empty.png,-1.0,38_milkybar.png,0.7,300,580,53_eat_natural_almond_apricot.png,a,6721,62,2513,0.05,0.2,0.25,0.75,True,0.625,0.55,0.7,0.75,0.55,0.7,1.0,3041.0,1568.0,,1018.0,3,5627.0,4,1,0.125,0.192620785172,-0.340050361049,3041.0,1568.0,1018.0,2766.0,0.686161028573,0.75,0.7,0.55,-0.993656637268,-0.0820380880996,0.370709561198,-0.196737209206,-1.1428936642,3041.0,1,3041.0,1568.0,1018.0,0.56107959415,-0.260880941062,-0.234127376531,0.859606522144,1.0,,0.0,0.0,0,-0.175,-461.5,-0.395515261313,-0.269669099241,0.636145590031,1.24973649058,-0.329733967737,-0.919488721351,-0.0856599819518,-0.406050563797,-0.165757627413,-0.124955120705,-0.225,-1.06839807175,964.0,1.21189237308,3,1,2.0,9,4,0,3,9.0,4.0,3.0,16.0,0.00113312606914,1.13365857144,44.0,2.0,-0.304008335888,0,1,3
12,12,1,11,empty.png,-1.0,51_smarties.png,0.6,69_maple_pecan.png,0.2,17_mrporky_pork_crackles.png,0.0,300,195,51_smarties.png,k,7705,58,2038,0.4,0.6,0.666666666667,0.6,True,0.1,0.0,0.2,0.6,0.2,0.0,1.0,,3064.0,1696.0,1550.0,3,6310.0,3,1,0.5,0.77048314069,-1.04972067976,3064.0,1696.0,1550.0,2991.0,0.882979383899,0.6,0.2,0.0,-1.28040324201,-0.957111027828,-0.934188094219,0.402321121993,0.110787982493,3064.0,1,3064.0,1696.0,1550.0,0.582799311953,-0.0843294097926,0.661465076722,0.191960388358,1.0,,0.0,0.0,0,-0.1,-611.0,-0.541773668217,-0.154096628138,0.304843727592,1.27439896209,-0.19248195235,-0.349035032401,-0.325952918336,-0.325952918336,-0.966734082027,0.293964571319,0.4,0.143395582409,593.0,0.684692176515,4,4,2.0,0,9,5,4,9.0,5.0,4.0,18.0,0.327473433982,1.58018208152,69.0,0.8,-1.19288550072,0,1,4
13,13,1,20,18_galaxy_bar.png,0.7,empty.png,-1.0,9_hovis_crackers.png,0.75,66_haribo_tangfastics.png,0.35,685,195,18_galaxy_bar.png,a,8825,38,3844,0.05,0.4,0.125,0.7,False,0.55,0.35,0.75,0.7,0.75,0.35,1.0,3392.0,,2384.0,1466.0,3,7242.0,7,1,0.15,0.231144942207,1.78896059508,3392.0,2384.0,1466.0,2933.0,0.832243985637,0.75,0.7,0.35,-0.993656637268,-0.0820380880996,-0.103798677135,-0.0753151208135,-0.888787117654,3392.0,1,3392.0,2384.0,1466.0,0.892541374541,0.864635070781,0.520055741997,-0.214412712867,1.0,,1.0,1.0,0,0.225,-45.0,0.0119538121028,0.34671741331,-1.3516655846,1.62610725152,0.545247630352,-0.439106667498,-0.165757627413,-0.0856599819518,-0.0856599819518,0.770783732972,-0.125,-0.874511087085,275.0,0.232806293748,5,2,1.0,6,0,5,5,6.0,5.0,5.0,16.0,0.00113312606914,1.21616970085,50.0,1.8,-0.452154530026,1,1,3
14,14,1,44,10_hula_hoops_bbq_beef.png,0.0,55_bassetts_licorice_allsorts.png,0.0,34_hobnob_flapjack.png,0.8,empty.png,-1.0,685,580,10_hula_hoops_bbq_beef.png,a,14510,36,3261,0.8,0.8,1.0,0.0,False,0.4,0.0,0.8,0.0,0.0,0.8,1.0,7245.0,1216.0,3468.0,,3,11929.0,5,1,-0.4,-0.616386512552,0.369619957662,7245.0,1216.0,3468.0,8371.0,5.58912494679,0.8,0.0,0.0,-0.898074435687,-1.30714020372,-0.934188094219,0.753155788504,0.844998591916,7245.0,1,7245.0,3468.0,1216.0,4.53106627439,2.35980585122,0.0991946267472,2.10363775843,1.0,,0.0,0.0,0,-0.4,-4140.5,-3.99474388339,-0.616386512552,-1.51731651582,5.75760737093,-0.70717701005,1.70760063566,-1.28712466387,-1.28712466387,-0.00556233649037,3.19106670976,0.8,0.918943521071,3169.0,4.34525203189,5,4,1.0,24,4,8,0,24.0,4.0,8.0,36.0,3.2645362052,1.80901170517,74.0,0.8,-1.19288550072,1,1,1
