Participant,Triplet_Identity,UL_Item,UL_Value,UR_Item,UR_Value,LL_Item,LL_Value,LR_Item,LR_Value,Chosen_Img,Choice_RT,Conf,Conf_RT,DV_Top,Value_Range,Chosen_Value,Chose_Highest,Unchosen_Mean,Unchosen_Low,Unchosen_High,Value_Position_1,Value_Position_2,Value_Position_3,Chosen_Position,UL_Dwell_Time,UR_Dwell_Time,LL_Dwell_Time,LR_Dwell_Time,Interest_Areas_Explored,Total_Dwell_Time,Gaze_Shift_Frequency,Chose_Item_1,Item1_DV,zItem1_DV,zGSF,DT_Position_1,DT_Position_2,DT_Position_3,Item1_DDT,zItem1_DDT,High_Val,Med_Val,Low_Val,zHigh_Val,zMed_Val,zLow_Val,Chosen_DT,Chose_Longest,Long_DT,Med_DT,Short_DT,zLong_DT,zMed_DT,zShort_DT,Block,CoM_Next,zConf,zDT_Position_1,zDT_Position_2,zDT_Position_3,zValue_Position_1,zValue_Position_2,zValue_Position_3,zRT,AbsDV,zAbsDV,AbsDDT,zAbsDDT,RTBin,DVBin,Conf_Dich,zAbsDV_sqrt,Summed_Value,zSV,DVBin2,GSF_Dich,DDT_Dich
1,30,26_yorkie.png,0.6,59_crunchie.png,0.95,empty.png,-1,57_food_doctor_mild_korma_crisps.png,1,59_crunchie.png,10778,42,4565,0.05,0.4,0.95,FALSE,0.8,0.6,1,0.6,0.95,1,2,2764,3887,,2364,3,9015,7,0,-0.375,-0.577862356,1.788960595,2764,3887,2364,-361.5,-0.580678182,1,0.95,0.6,-0.515745629,0.355498382,0.489336621,3887,1,3887,2764,2364,1.359987475,1.388772429,2.031788868,1,1,-1.020363722,0.952714551,2.15688653,0.523802003,-0.325952918,0.2347306,0.314828245,1.602237146,-0.25,-1.116869818,-59,-0.241815986,5,1,0,1.112074642,2.55,0.103393698,2,1,0
1,32,13_fruit_pastilles.png,0.35,69_maple_pecan.png,0.2,empty.png,-1,5_caramello.png,1.35,5_caramello.png,5682,74,5177,1,1.15,1.35,TRUE,0.275,0.2,0.35,0.35,0.2,1.35,3,940,1546,,2222,3,4708,3,0,-0.425,-0.65491067,-1.04972068,940,1546,2222,-944,-1.179011035,1.35,0.35,0.2,0.153329782,-0.694589146,-0.459679856,2222,1,2222,1546,940,-0.212331227,-0.291225735,-0.365436044,1,0,1.630051177,-1.003126668,-0.353324158,0.371538048,-0.726441146,-0.966734082,0.875511764,-0.567290039,0.9,1.112830506,206,0.134755583,2,5,1,1.861829835,1.9,-0.378081433,1,0,0
1,3,empty.png,-1,11_lindt_orange.png,1.85,54_milkyway_magic_stars.png,0.8,32_snickers.png,0.75,11_lindt_orange.png,10289,34,6577,1.05,1.1,1.85,TRUE,0.775,0.75,0.8,1.85,0.8,0.75,1,,3507,2442,2372,3,8321,7,1,1.075,1.656538752,1.788960595,3507,2442,2372,1100,0.92054665,1.85,0.8,0.75,1.109151798,0.0929765,0.8452178,3507,1,3507,2442,2372,1.001139964,0.944634983,2.045256424,1,0,-1.682967447,1.749419609,0.60743995,0.532380254,1.676488218,1.676488218,-0.005562336,1.394054494,0.675,0.67658479,-121,-0.329919523,5,4,0,1.740736803,3.4,0.733015023,4,1,1
1,18,24_twix.png,1.5,empty.png,-1,68_skittles_wildberry.png,1.2,38_milkybar.png,0.7,24_twix.png,7279,56,3175,0.3,0.8,1.5,TRUE,0.95,0.7,1.2,1.5,1.2,0.7,1,2609,,2284,1000,3,5893,6,1,0.55,0.847531455,1.079290276,2609,2284,1000,967,0.783931595,1.5,1.2,0.7,0.440076386,0.793034852,0.72659074,2609,1,2609,2284,1000,0.153126634,0.726704187,-0.264429377,1,0,0.139192796,0.786510939,0.438019493,-0.938789786,1.1158047,0.635218827,0.635218827,0.112602997,-0.05,-0.729095849,-175,-0.406654861,4,2,0,1.274552463,3.4,0.733015023,4,1,1
1,24,31_beef_jerky.png,0,empty.png,-1,72_shapers_vegatable_crisps.png,0,13_fruit_pastilles.png,0.35,13_fruit_pastilles.png,14064,30,5097,0.35,0.35,0.35,TRUE,0,0,0,0,0,0.35,3,4714,,3234,3707,3,11655,5,0,-0.175,-0.269669099,0.369619958,4714,3234,3707,1243.5,1.067947104,0.35,0,0,-1.75831425,-1.307140204,-0.934188094,3707,0,4714,3707,3234,2.14095298,2.689460664,3.496385549,1,0,-2.014269309,3.043663223,1.456686795,1.963875883,-1.287124664,-1.287124664,-1.287124664,3.001190508,0.35,0.04645209,-610,-1.024800644,5,3,0,1.54920364,0.35,-1.526214438,2,1,1
1,1,empty.png,-1,42_dairy_milk_fruit_and_nut.png,1.35,60_caramel_rice_crisps.png,1.55,1_shapers_popcorn.png,0.9,42_dairy_milk_fruit_and_nut.png,6956,58,4314,0.2,0.65,1.35,FALSE,1.225,0.9,1.55,1.35,1.55,0.9,1,,2484,1480,1226,3,5190,2,1,0.125,0.192620785,-1.759390998,2484,1480,1226,1131,0.952389257,1.55,1.35,0.9,0.535658588,1.055556734,1.201098978,2484,1,2484,1480,1226,0.035084689,-0.382260119,0.116029071,1,1,0.304843728,0.652475767,-0.424094728,-0.696454196,0.875511764,0.875511764,1.195902345,-0.024908243,-0.25,-1.116869818,391,0.397645169,3,1,1,1.112074642,3.8,1.029307411,3,0,1
1,26,70_gb_butterscotch.png,1.85,67_sour_cream_and_chive_rice_crisps.png,1.75,empty.png,-1,14_maltesers.png,0.8,70_gb_butterscotch.png,8171,68,4127,0.1,1.05,1.85,TRUE,1.275,0.8,1.75,1.85,1.75,0.8,1,3076,2216,,1438,3,6730,5,1,0.575,0.886055612,0.369619958,3076,2216,1438,1249,1.073596599,1.85,1.75,0.8,1.109151798,1.755615085,0.963844859,3076,1,3076,2216,1438,0.594131339,0.632911186,0.472919297,1,1,1.133098384,1.287266339,0.36510436,-0.469130546,1.676488218,1.516292927,-0.005562336,0.492355401,-0.3,-1.21381331,141,0.042388972,4,1,1,1.067598482,4.4,1.473745994,4,1,1
1,17,2_maynards_winegums.png,1,empty.png,-1,71_walkers_baked_crisps.png,0.8,28_nakd_banana_crunch.png,0,71_walkers_baked_crisps.png,6078,62,3926,0.2,1,0.8,FALSE,0.5,0,1,1,0.8,0,2,1422,29,2153,1592,4,5196,3,0,0.6,0.924579769,-1.04972068,1422,2153,1592,-450.5,-0.672097279,1,0.8,0,-0.515745629,0.0929765,-0.934188094,2153,0,1592,1422,29,-0.807262627,-0.462260031,-1.899053948,1,0,0.63614559,-0.486287048,0.297550634,-0.303999215,0.314828245,-0.005562336,-0.005562336,-0.398700407,0.2,-0.244378387,155.5,0.062993832,3,3,1,1.452309003,1.8,-0.45215453,4,0,0
1,6,empty.png,-1,60_caramel_rice_crisps.png,1.55,47_daim.png,0.7,56_marshmallows.png,1.95,56_marshmallows.png,6300,66,2883,0.4,1.25,1.95,TRUE,1.125,0.7,1.55,1.55,0.7,1.95,3,,1566,1002,2640,3,5208,3,0,0.225,0.346717413,-1.04972068,1566,1002,2640,-255,-0.47128342,1.95,1.55,0.7,1.300316201,1.405585909,0.72659074,2640,1,2640,1566,1002,0.182401036,-0.263639559,-0.261062488,1,0,0.967447452,-0.33187853,-0.936645223,0.819751661,1.195902345,1.195902345,-0.165757627,-0.304188038,0.05,-0.535208864,573,0.656271681,3,2,1,1.34846986,4.2,1.3255998,3,0,0
1,2,empty.png,-1,27_mars.png,1.75,59_crunchie.png,0.95,50_nakd_rhubarb_and_custard.png,1.45,27_mars.png,10145,42,2943,0.3,0.8,1.75,TRUE,1.2,0.95,1.45,1.75,0.95,1.45,1,,3014,720,4292,3,8026,7,1,0.55,0.847531455,1.788960595,3014,720,4292,508,0.312455579,1.75,1.45,0.95,0.917987394,1.230571321,1.319726038,3014,0,4292,3014,720,1.742443376,1.733599639,-0.735793826,1,0,-1.020363722,1.220784894,-1.23902857,2.591160485,1.516292927,1.516292927,0.2347306,1.332749173,-0.175,-0.971454579,918,1.146525233,5,2,0,1.17563823,4.15,1.288563251,4,1,1
